Размещение на сайте;Название;Цена минус 5%;oldPrice;Цена;discauntPrice;Фотографии;Описание;Артикул;Цвет;Мощность (Ватт);Напряжение (Вольт);Цветовая температура (К);Срок службы (Час);Размеры мм (длина * толщина);Модель;Цоколь
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/a46/a4689e8e62a5d42d7ad0230dce338844.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887259;;6;220;4000;30000;68x45;;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/ad4/ad4a45064b7ebc94db80610075be98f6.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887241;;6;220;2700;30000;68x45;;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/40b/40bba09ff79cec8c1d7702a91d70eb0a.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886794;;6;220;4000;30000;78x45;;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/250/2504c6efaaff646cb971e6427f44bd44.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886757;;6;220;2700;30000;78x45;;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/770/77064d26362aa318b310a20b670e4eaa.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544416;;5;220;4000;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;57.0;;60;;http://svetonik.ru/upload/iblock/040/040cbc33a3a977015e47a78724f5ad45.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544412;;5;220;2700;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/27d/27d61ca95cb62f697bf54551de057bea.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544368;;5;220;4000;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/8c0/8c097a50f70d9416486b9eff547a9ecd.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544357;;5;220;2700;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;63.65;;67;;http://svetonik.ru/upload/iblock/238/238a19253d5ec0d0d1f5dd24169cb38e.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474212;;5;220;4000;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/f6b/f6b5878ced79cdb0bd9d70e25274c5a3.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474199;;5;220;2700;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 78х45;63.65;;67;;http://svetonik.ru/upload/iblock/b5d/b5d71b2e939187209674d356ec20f499.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474127;;5;220;4000;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 78х45;63.65;;67;;http://svetonik.ru/upload/iblock/7c8/7c80e45d88736d0044457511188a2073.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474054;;5;220;2700;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola classic   LED Premium 13,0W A65 220-240V E27 4000K 360° filament прозр. нитевидная (Ra 80, 100 Lm/W, КП=0) 120x65;179.54999999999998;;189;;http://svetonik.ru/upload/iblock/62b/62b42c0fc8f78273b187300acdcbe3a2.png;"Ecola Premium
Лампы Ecola Premium - 0% коэффициент пульсации.
Есть стабилизатор потребляемой мощности при колебаниях напряжения.
В серии Ecola Premium есть все модели наиболее популярных ламп.
Цена всего на 10-20% выше, чем на обычные лампы Ecola.
Где это важно?
Существуют помещения, где коэффициент пульсации осветительных приборов особенно важен. 
Например, рабочие места с вращающимися деталями станков и механизмов, помещения для 
фото- и видеосъемки. При высоком КП света из-за «стробоскопического эффекта» возможны 
сильные искажения в восприятии быстро движущихся или вращающихся объектов. Существуют 
нормы и для детских, медицинских и образовательных учреждений - КП должен быть менее 10%.
Почему Ecola Premium?
Если Вас беспокоит вопрос пульсации – лампы Ecola Premium подойдут везде, не промахнетесь. 
Не нужно думать, с каким значением КП светового потока Вы готовы смириться, или какая 
норма КП действует для того или иного места установки ламп! В серии Ecola Premium 
(КП=0%) есть все модели  наиболее популярных ламп. Возможно, стоит заплатить лишние 
10-20% за свет «более высокого качества» – просто для собственного спокойствия.
";18383849;;13;220;4000;30000;120x65;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola classic   LED Premium 13,0W A65 220-240V E27 2700K 360° filament прозр. нитевидная (Ra 80, 100 Lm/W, КП=0) 120x65;179.54999999999998;;189;;http://svetonik.ru/upload/iblock/381/381d9cdb05e84a4c19330faca281823d.png;"Ecola Premium
Лампы Ecola Premium - 0% коэффициент пульсации.
Есть стабилизатор потребляемой мощности при колебаниях напряжения.
В серии Ecola Premium есть все модели наиболее популярных ламп.
Цена всего на 10-20% выше, чем на обычные лампы Ecola.
Где это важно?
Существуют помещения, где коэффициент пульсации осветительных приборов особенно важен. 
Например, рабочие места с вращающимися деталями станков и механизмов, помещения для 
фото- и видеосъемки. При высоком КП света из-за «стробоскопического эффекта» возможны 
сильные искажения в восприятии быстро движущихся или вращающихся объектов. Существуют 
нормы и для детских, медицинских и образовательных учреждений - КП должен быть менее 10%.
Почему Ecola Premium?
Если Вас беспокоит вопрос пульсации – лампы Ecola Premium подойдут везде, не промахнетесь. 
Не нужно думать, с каким значением КП светового потока Вы готовы смириться, или какая 
норма КП действует для того или иного места установки ламп! В серии Ecola Premium 
(КП=0%) есть все модели  наиболее популярных ламп. Возможно, стоит заплатить лишние 
10-20% за свет «более высокого качества» – просто для собственного спокойствия.
";18383843;;13;220;2700;30000;120x65;Filament;E27
