Размещение на сайте;Название;Цена минус 5%;oldPrice;Цена;discauntPrice;Фотографии;Описание;Артикул;Цвет;Мощность (Ватт);Напряжение (Вольт);Цветовая температура (К);Срок службы (Час);Размеры мм (длина * толщина);Модель;Цоколь
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/5eb/5eb6c692d2a817f7acc69f2e7463cee1.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887259;;6;220;4000;30000;68x45;;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/87d/87dbc6910487839e150229e93488864b.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887241;;6;220;2700;30000;68x45;;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/1ca/1ca2e7a798fa2dc87242a7f6b65024de.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886794;;6;220;4000;30000;78x45;;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/289/28948a0f8a4759c6ecf9e8d5e81cd636.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886757;;6;220;2700;30000;78x45;;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/a5e/a5e2338a349c96e12b46b3fc051fc572.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544416;;5;220;4000;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;57.0;;60;;http://svetonik.ru/upload/iblock/b5f/b5f4aeee8634efa015af7f509b95cf8e.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544412;;5;220;2700;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/0cf/0cf73a4811cf0313b0ad804c743fc1ab.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544368;;5;220;4000;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/147/147c48527d2dba170fc9d1e1e42ad8ff.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544357;;5;220;2700;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;63.65;;67;;http://svetonik.ru/upload/iblock/4c0/4c092c706dc4043c983a6073c2f53c60.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474212;;5;220;4000;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/928/9280f3d4f29ac0c849b1781260132181.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474199;;5;220;2700;30000;68x45;Filament;E27
